"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750601","","","","0"
"2000","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","750517","","","","0"
"2001","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749820","","","","0"
"2002","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749372","","","","0"
"2003","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749441","","","","0"
"2004","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749419","","","","0"
"2005","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","748057","","","","0"
"2006","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745621","","","","0"
"2007","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","745433","","","","0"
"2008","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","746877","","","","0"
"2009","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","749956","","","","0"
"2010","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","753035","","","","0"
"2011","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","755705","","","","0"
"2012","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758378","","","","0"
"2013","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758544","","","","0"
"2014","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758976","","","","0"
"2015","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","758842","","","","0"
"2016","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","763350","","","","0"
"2017","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","766621","","","","0"
"2018","New Brunswick","2016A000213","Both sexes","All ages","Persons","249","units","0","v467928","5.1.1","770301","","","","0"
"1990","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","6996986","","","","0"
"1991","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7067396","","","","0"
"1992","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7110010","","","","0"
"1993","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7156537","","","","0"
"1994","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7192403","","","","0"
"1995","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7219219","","","","0"
"1996","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7246897","","","","0"
"1997","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7274611","","","","0"
"1998","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7295935","","","","0"
"1999","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7323250","","","","0"
"2000","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7356951","","","","0"
"2001","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7396456","","","","0"
"2002","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7441656","","","","0"
"2003","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7485753","","","","0"
"2004","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7535590","","","","0"
"2005","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7581476","","","","0"
"2006","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7631966","","","","0"
"2007","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7692916","","","","0"
"2008","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7761725","","","","0"
"2009","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7843383","","","","0"
"2010","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","7929222","","","","0"
"2011","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8005090","","","","0"
"2012","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8061101","","","","0"
"2013","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8110880","","","","0"
"2014","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8150183","","","","0"
"2015","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8175272","","","","0"
"2016","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8225950","","","","0"
"2017","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8302063","","","","0"
"2018","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8401738","","","","0"
"1990","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10295832","","","","0"
"1991","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10431316","","","","0"
"1992","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10572205","","","","0"
"1993","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10690038","","","","0"
"1994","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10819146","","","","0"
"1995","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","10950119","","","","0"
"1996","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11082903","","","","0"
"1997","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11227651","","","","0"
"1998","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11365901","","","","0"
"1999","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11504759","","","","0"
"2000","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11683290","","","","0"
"2001","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","11897534","","","","0"
"2002","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12094174","","","","0"
"2003","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12245039","","","","0"
"2004","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12391421","","","","0"
"2005","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12528663","","","","0"
"2006","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12661878","","","","0"
"2007","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12764806","","","","0"
"2008","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12883583","","","","0"
"2009","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","12998345","","","","0"
"2010","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13135778","","","","0"
"2011","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13261381","","","","0"
"2012","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13390632","","","","0"
"2013","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13510781","","","","0"
"2014","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","13617553","","","","0"
